"","title","survived","age","pclass","sibsp","parch","family_size","child","sex","deck"
"645","Nobleman","0","6","2","0","0","0","Child","Male","D"
"160","Nobleman","0","9","1","1","1","3","Child","Male","D"
"1225","Mrs","0","40","3","0","1","3","Adult","Female","E"
"189","Mrs","1","49","1","0","0","0","Adult","Female","E"
"331","Nobleman","0","6","2","0","2","3","Child","Male","B"
"1187","Mr","0","32","3","0","0","0","Adult","Male","D"
"346","Nobleman","0","4","2","1","2","4","Child","Male","D"
"725","Mrs","0","45","2","0","0","0","Adult","Female","A"
"726","Mr","0","26","2","0","0","0","Adult","Male","D"
"803","Mrs","0","54","2","1","0","2","Adult","Female","C"
"752","Mr","0","31","2","0","0","0","Adult","Male","D"
"398","Mrs","0","31","2","0","1","2","Adult","Female","A"
"328","Mr","1","38","2","0","0","0","Adult","Male","D"
"1042","Miss","1","39","3","0","0","0","Adult","Female","E"
"1173","Mrs","0","30","3","1","0","2","Adult","Female","B"
"666","Mrs","0","70","2","0","1","2","Adult","Female","B"
"162","Mrs","0","59","1","0","0","2","Adult","Female","E"
"689","Mrs","1","35","2","1","4","5","Adult","Female","B"
"934","Mrs","0","29","3","0","1","2","Adult","Female","B"
"1251","Mrs","0","37","3","5","1","7","Adult","Female","D"
"1070","Miss","0","22","3","0","0","0","Adult","Female","B"
"316","Mrs","0","45","2","1","1","3","Adult","Female","B"
"1195","Mr","0","30","3","0","0","0","Adult","Male","A"
"336","Mrs","0","34","2","0","1","2","Adult","Female","B"
"572","Mr","1","26","2","0","0","7","Adult","Male","B"
"574","Mr","0","31","2","1","0","2","Adult","Male","B"
"592","Miss","0","32","2","0","0","0","Adult","Female","D"
"808","Mr","0","48","2","0","0","0","Adult","Male","B"
"1104","Mr","0","50","3","0","0","0","Adult","Male","B"
"188","Nobleman","1","49","1","0","0","4","Adult","Male","B"
"1130","Mr","0","24","3","0","0","0","Adult","Male","B"
"289","Mrs","0","56","1","0","0","0","Adult","Female","B"
"1110","Mrs","1","35","3","0","0","0","Adult","Female","D"
"781","Mrs","0","37","2","1","2","7","Adult","Female","D"
"278","Mrs","0","57","1","0","0","0","Adult","Female","B"
"132","Mr","0","41","1","1","0","2","Adult","Male","B"
"58","Mr","0","53","1","1","0","2","Adult","Male","E"
"185","Mr","0","61","1","0","0","0","Adult","Male","A"
"1056","Miss","1","32","3","0","0","0","Adult","Female","B"
