title,survived,age,pclass,sibsp,parch,family_size,child,sex,deck
Mr,0,50,1,0,0,0,Adult,Male,B
Military,0,32,1,0,0,0,Adult,Male,A
Mr,0,33,1,0,0,0,Adult,Male,B
Miss,0,35,1,0,0,4,Adult,Female,D
Mr,0,NA,1,0,0,0,Adult,Male,E
Mr,0,NA,1,0,0,2,Adult,Male,A
Mrs,1,76,1,0,0,2,Adult,Female,B
Mr,0,48,1,0,0,0,Adult,Male,B
Mr,1,29,1,0,0,0,Adult,Male,E
Mr,0,44,1,0,0,0,Adult,Male,B
Mr,1,48,1,0,0,0,Adult,Male,B
Mr,0,61,1,0,0,0,Adult,Male,A
Mr,0,29,1,0,0,0,Adult,Male,D
Miss,0,NA,1,0,0,4,Adult,Female,D
Nobleman,1,49,1,0,0,4,Adult,Male,B
Mrs,1,49,1,0,0,0,Adult,Female,E
Mrs,0,31,1,0,0,0,Adult,Female,D
Mr,0,34,1,0,0,0,Adult,Male,A
Mrs,1,23,1,0,0,0,Adult,Female,D
Mr,0,40,1,0,0,0,Adult,Male,A
Mr,0,43,1,1,0,2,Adult,Male,B
Mrs,1,32,1,1,0,2,Adult,Female,B
Mr,1,42,1,0,0,2,Adult,Male,A
Mr,0,63,1,0,1,2,Adult,Male,B
Miss,1,30,1,0,1,2,Adult,Female,B
Mr,0,35,1,0,0,0,Adult,Male,B
Nobleman,1,5,1,3,2,8,Child,Male,E
Miss,1,0.2,1,3,2,8,Child,Female,E
Military,1,46,1,1,3,8,Adult,Male,E
Mrs,1,34,1,1,3,8,Adult,Female,E
Miss,0,1.5,1,3,2,8,Child,Female,E
Miss,0,2.5,1,3,2,8,Child,Female,E
Dr,0,53,1,1,0,4,Adult,Male,B
Mrs,0,52,1,1,0,4,Adult,Female,B
Mr,0,41,1,0,0,0,Adult,Male,E
Mr,1,25,1,0,0,0,Adult,Male,D
Mr,0,26,1,0,0,0,Adult,Male,D
Mr,1,29,1,0,0,0,Adult,Male,B
Nobleman,1,51,1,0,0,0,Adult,Male,A
Mr,1,59,1,0,0,0,Adult,Male,B
Mr,0,59,1,1,0,2,Adult,Male,B
Mrs,0,58,1,1,0,2,Adult,Female,B
Mr,0,30,1,0,0,0,Adult,Male,E
Miss,1,48,1,0,0,3,Adult,Female,D
Mr,1,41,1,0,0,0,Adult,Male,D
Mr,0,55,1,0,0,0,Adult,Male,D
Mr,1,33,1,0,0,3,Adult,Male,E
Mr,1,36,1,0,0,0,Adult,Male,B
Mr,1,23,1,0,0,0,Adult,Male,B
Mr,0,54,1,1,0,2,Adult,Male,B
Mrs,0,59,1,1,0,2,Adult,Female,B
Miss,0,NA,1,0,0,2,Adult,Female,D
