survived,pclass,sex,age,sibsp,parch,title,deck,family_size,child
0,2,1,1.5,0,1,Miss,B,2,child
1,3,0,27,0,0,Mr,A,0,adult
0,2,0,28,1,0,Mr,C,2,adult
1,3,1,42,0,0,Mrs,B,0,adult
0,2,0,10,0,1,Nobleman,D,2,child
0,2,1,1.5,2,2,Miss,D,6,child
0,1,0,43,0,0,Mr,D,0,adult
1,2,0,4,2,3,Nobleman,D,6,child
1,1,0,31,0,0,Mr,B,0,adult
0,2,0,25,0,0,Mr,D,0,adult
1,3,0,40,2,0,Mr,B,3,adult
1,2,1,34,0,0,Mrs,B,0,adult
1,1,0,60,0,0,Mr,D,0,adult
1,2,0,39,0,0,Mr,C,0,adult
1,3,1,4,1,2,Miss,B,4,child
0,2,1,33,0,0,Mrs,C,0,adult
0,2,0,27,0,0,Mr,B,0,adult
1,2,0,0.83,2,2,Nobleman,B,5,child
0,2,0,57,1,0,Mr,D,2,adult
0,2,1,31,1,1,Mrs,D,3,adult
0,2,1,33,0,0,Miss,B,0,adult
1,1,1,31,1,0,Mrs,D,2,adult
0,3,0,45,0,0,Mr,D,9,adult
1,2,0,27,0,0,Mr,D,0,adult
0,3,0,1,0,1,Nobleman,D,2,child
0,1,1,59,1,0,Mrs,B,2,adult
1,3,1,52,0,0,Mrs,B,0,adult
1,2,0,31,0,0,Mr,D,0,adult
1,3,0,31,0,0,Mr,B,0,adult
0,3,0,31,0,0,Mr,B,0,adult
0,2,0,35,1,0,Mr,B,2,adult
0,2,0,21,0,0,Mr,B,0,adult
0,2,0,60,1,0,Mr,E,2,adult
0,2,0,41,1,0,Mr,C,2,adult
0,3,0,29,0,0,Mr,A,0,adult
1,2,0,28,1,3,Mr,D,5,adult
0,2,1,34,0,0,Miss,B,0,adult
1,3,0,52,0,0,Mr,D,0,adult
0,3,0,28,0,0,Mr,D,0,adult
1,2,1,41,1,0,Mrs,D,2,adult
1,3,0,31,0,0,Mr,D,0,adult
0,2,0,24,0,0,Mr,A,0,adult
1,3,0,32,0,0,Mr,B,0,adult
0,3,0,44,0,0,Mr,B,3,adult
1,2,1,24,0,0,Miss,C,0,adult
0,2,0,70,0,0,Mr,D,0,adult
1,2,0,7,0,1,Nobleman,B,2,child
0,3,0,30,0,0,Mr,B,0,adult
1,2,0,3,2,2,Nobleman,D,5,child
0,2,0,28,0,0,Mr,B,0,adult
0,3,1,27,2,1,Mrs,D,3,adult
1,3,1,29,0,0,Miss,T,0,adult
1,2,0,36,0,0,Mr,T,0,adult
0,3,0,23,0,0,Mr,D,0,adult
0,1,1,43,0,0,Mrs,E,2,adult
0,3,1,29,0,1,Mrs,B,2,adult
0,2,0,27,0,0,Mr,B,0,adult
1,2,0,36,0,0,Dr,B,0,adult
0,2,0,21,0,0,Mr,C,0,adult
0,3,0,45,0,0,Mr,A,0,adult
1,1,0,29,0,0,Mr,B,0,adult
0,3,0,28,0,0,Mr,D,0,adult
1,1,0,55,0,0,Mr,B,0,adult
0,1,0,46,0,1,Mr,D,2,adult
0,2,0,22,1,1,Mr,B,3,adult
1,2,1,27,0,0,Miss,B,0,adult
0,2,1,30,0,0,Miss,A,0,adult
1,2,1,39,0,0,Mrs,E,0,adult
0,2,0,60,0,0,Mr,D,0,adult
0,2,0,7,0,0,Nobleman,E,0,child
1,2,0,32,1,0,Mr,D,2,adult
0,3,0,21,0,0,Mr,B,0,adult
1,1,1,30,0,1,Miss,B,2,adult
1,3,0,23,0,0,Mr,E,0,adult
0,3,0,41,0,0,Mr,D,0,adult
0,2,0,21,1,1,Mr,A,3,adult
0,3,0,27,0,0,Mr,B,2,adult
0,3,0,34,0,0,Mr,A,0,adult
1,1,0,45,0,0,Mr,A,0,adult
1,1,0,50,0,0,Mr,B,0,adult
1,3,1,25,0,2,Mrs,B,3,adult
